PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [VSACCSOCCN] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,"PFIZER, INC.",-,PFE US,-,,"119,853","$4,433,095",0.16%,
LISTED EQUITY,-,-,-,-,"GENERAL MILLS, INC.",-,GIS US,-,,"55,832","$4,413,932",0.16%,
LISTED EQUITY,-,-,-,-,ROCHE HOLDING AG,-,ROG SW,-,,"8,902","$4,409,424",0.16%,
LISTED EQUITY,-,-,-,-,AIA GROUP LTD.,-,1299 HK,-,,"321,079","$4,393,810",0.16%,
LISTED EQUITY,-,-,-,-,INTESA SANPAOLO SPA,-,ISP IM,-,,"500,580","$4,385,861",0.16%,
LISTED EQUITY,-,-,-,-,"CITIGROUP, INC.",-,C US,-,,"33,747","$4,383,207",0.16%,
LISTED EQUITY,-,-,-,-,"TRAVELERS COS., INC.",-,TRV US,-,,"10,729","$4,379,819",0.16%,
LISTED EQUITY,-,-,-,-,PROCTER & GAMBLE CO.,-,PG US,-,,"17,999","$4,375,787",0.16%,
LISTED EQUITY,-,-,-,-,FLEX LTD.,-,FLEX US,-,,"57,119","$4,350,959",0.16%,
LISTED EQUITY,-,-,-,-,ASTRAZENECA PLC,-,AZN LN,-,,"20,437","$4,324,777",0.16%,
LISTED EQUITY,-,-,-,-,AMP LTD.,-,AMP AU,-,,"3,335,380","$4,202,579",0.15%,
LISTED EQUITY,-,-,-,-,SIMS LTD.,-,SGM AU,-,,"272,183","$4,175,278",0.15%,
LISTED EQUITY,-,-,-,-,COLGATE-PALMOLIVE CO.,-,CL US,-,,"29,707","$4,120,518",0.15%,
LISTED EQUITY,-,-,-,-,CINTAS CORP.,-,CTAS US,-,,"12,097","$4,113,989",0.15%,
LISTED EQUITY,-,-,-,-,"HUDBAY MINERALS, INC.",-,HBM CN,-,,"253,947","$4,103,596",0.15%,
LISTED EQUITY,-,-,-,-,REGIS RESOURCES LTD.,-,RRL AU,-,,"925,964","$4,064,981",0.15%,
LISTED EQUITY,-,-,-,-,ALS LTD.,-,ALQ AU,-,,"237,691","$4,064,505",0.15%,
LISTED EQUITY,-,-,-,-,SCHNEIDER ELECTRIC SE,-,SU FP,-,,"10,019","$4,052,050",0.15%,
LISTED EQUITY,-,-,-,-,BANCO BILBAO VIZCAYA ARGENTARIA SA,-,BBVA SM,-,,"173,114","$4,048,060",0.15%,
LISTED EQUITY,-,-,-,-,GEBERIT AG,-,GEBN SW,-,,"3,311","$3,960,337",0.15%,
LISTED EQUITY,-,-,-,-,SINGAPORE EXCHANGE LTD.,-,SGX SP,-,,"222,055","$3,958,592",0.15%,
LISTED EQUITY,-,-,-,-,"ELECTRONIC ARTS, INC.",-,EA US,-,,"16,114","$3,926,772",0.14%,
