PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCHGINDX] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,"VERIZON COMMUNICATIONS, INC.",-,VZ US,-,,"19,529","$1,289,374",0.14%,
LISTED EQUITY,-,-,-,-,AMERICAN EXPRESS CO.,-,AXP US,-,,"2,632","$1,280,682",0.14%,
LISTED EQUITY,-,-,-,-,"PEPSICO, INC.",-,PEP US,-,,"6,329","$1,275,195",0.13%,
LISTED EQUITY,-,-,-,-,"UBER TECHNOLOGIES, INC.",-,UBER US,-,,"8,917","$1,269,557",0.13%,
LISTED EQUITY,-,-,-,-,"QUALCOMM, INC.",-,QCOM US,-,,"5,186","$1,260,303",0.13%,
LISTED EQUITY,-,-,-,-,TOYOTA MOTOR CORP.,-,7203 JP,-,,"47,608","$1,253,791",0.13%,
LISTED EQUITY,-,-,-,-,NEWMONT CORP.,-,NEM AU,-,,"14,044","$1,226,188",0.13%,
LISTED EQUITY,-,-,-,-,ORICA LTD.,-,ORI AU,-,,"62,103","$1,210,388",0.13%,
LISTED EQUITY,-,-,-,-,MORGAN STANLEY,-,MS US,-,,"5,610","$1,205,832",0.13%,
LISTED EQUITY,-,-,-,-,"S&P GLOBAL, INC.",-,SPGI US,-,,"1,481","$1,191,280",0.13%,
LISTED EQUITY,-,-,-,-,"ADOBE, INC.",-,ADBE US,-,,"2,015","$1,189,189",0.13%,
LISTED EQUITY,-,-,-,-,NEXTDC LTD.,-,NXT AU,-,,"81,541","$1,182,338",0.12%,
LISTED EQUITY,-,-,-,-,UNILEVER PLC,-,ULVR LN,-,,"12,491","$1,155,748",0.12%,
LISTED EQUITY,-,-,-,-,"CITIGROUP, INC.",-,C US,-,,"8,843","$1,148,501",0.12%,
LISTED EQUITY,-,-,-,-,SONY GROUP CORP.,-,6758 JP,-,,"29,126","$1,147,660",0.12%,
LISTED EQUITY,-,-,-,-,BOEING CO.,-,BA US,-,,"3,570","$1,141,638",0.12%,
LISTED EQUITY,-,-,-,-,CHARLES SCHWAB CORP.,-,SCHW US,-,,"8,149","$1,134,508",0.12%,
LISTED EQUITY,-,-,-,-,BOSTON SCIENTIFIC CORP.,-,BSX US,-,,"6,833","$1,119,965",0.12%,
LISTED EQUITY,-,-,-,-,ALLIANZ SE,-,ALV GR,-,,"1,810","$1,115,560",0.12%,
LISTED EQUITY,-,-,-,-,PROGRESSIVE CORP.,-,PGR US,-,,"2,723","$1,109,063",0.12%,
LISTED EQUITY,-,-,-,-,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",-,8306 JP,-,,"52,739","$1,104,785",0.12%,
LISTED EQUITY,-,-,-,-,"THERMO FISHER SCIENTIFIC, INC.",-,TMO US,-,,"1,767","$1,093,153",0.12%,
LISTED EQUITY,-,-,-,-,SEEK LTD.,-,SEK AU,-,,"45,153","$1,085,932",0.11%,
LISTED EQUITY,-,-,-,-,"BLACKROCK, INC.",-,BLK US,-,,670,"$1,072,935",0.11%,
LISTED EQUITY,-,-,-,-,"APPLIED MATERIALS, INC.",-,AMAT US,-,,"3,840","$1,072,697",0.11%,
LISTED EQUITY,-,-,-,-,"AMGEN, INC.",-,AMGN US,-,,"2,515","$1,071,368",0.11%,
LISTED EQUITY,-,-,-,-,ALS LTD.,-,ALQ AU,-,,"61,592","$1,053,215",0.11%,
LISTED EQUITY,-,-,-,-,"HONEYWELL INTERNATIONAL, INC.",-,HON US,-,,"2,937","$1,043,883",0.11%,
LISTED EQUITY,-,-,-,-,SCHNEIDER ELECTRIC SE,-,SU FP,-,,"2,498","$1,010,067",0.11%,
LISTED EQUITY,-,-,-,-,LVMH MOET HENNESSY LOUIS VUITTON SE,-,MC FP,-,,"1,258","$1,001,809",0.11%,
LISTED EQUITY,-,-,-,-,STRYKER CORP.,-,SYK US,-,,"1,657","$999,994",0.11%,
LISTED EQUITY,-,-,-,-,"GE VERNOVA, INC.",-,GEV US,-,,"1,238","$999,607",0.11%,
LISTED EQUITY,-,-,-,-,"PFIZER, INC.",-,PFE US,-,,"26,897","$994,887",0.11%,
LISTED EQUITY,-,-,-,-,"SHOPIFY, INC.",-,SHOP CN,-,,"5,653","$992,844",0.10%,
LISTED EQUITY,-,-,-,-,"MICRON TECHNOLOGY, INC.",-,MU US,-,,"5,253","$987,959",0.10%,
LISTED EQUITY,-,-,-,-,"GILEAD SCIENCES, INC.",-,GILD US,-,,"5,809","$982,776",0.10%,
LISTED EQUITY,-,-,-,-,"TJX COS., INC.",-,TJX US,-,,"5,209","$981,465",0.10%,
LISTED EQUITY,-,-,-,-,UNION PACIFIC CORP.,-,UNP US,-,,"2,772","$973,263",0.10%,
LISTED EQUITY,-,-,-,-,EATON CORP. PLC,-,ETN US,-,,"1,786","$972,643",0.10%,
LISTED EQUITY,-,-,-,-,HITACHI LTD.,-,6501 JP,-,,"21,783","$967,617",0.10%,
LISTED EQUITY,-,-,-,-,"PALO ALTO NETWORKS, INC.",-,PANW US,-,,"3,054","$953,769",0.10%,
LISTED EQUITY,-,-,-,-,COMCAST CORP.,-,CMCSA US,-,,"17,414","$948,373",0.10%,
LISTED EQUITY,-,-,-,-,CAPITAL ONE FINANCIAL CORP.,-,COF US,-,,"2,904","$942,886",0.10%,
