HC SRI - Class A Option,,,,
HOSTPLUS,,,,
,,,,
Table 1 - Assets HC SRI - Class A Option - Assets,,,,
Portfolio Holdings Information for Investment Option HC SRI - Class A Option - Assets,,,,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
ILUKA RESOURCES LIMITED NPV,AU000000ILU1,"382,377.62","1,453,035",0.23%
INDUSTRIA DE DISENO TEXTIL ITX,ES0148396007,"2,508.45","198,504",0.03%
INFINEON TECHNOLOGIES AG,DE0006231004,"1,715.15","110,951",0.02%
ING GROEP NV-CVA,NL0011821202,"10,237.29","341,542",0.05%
INSULET CORP COM STK USD0.001,US45784P1012,189.68,"90,932",0.01%
INTEL CORP,US4581401001,"8,542.90","291,998",0.05%
INTERACTIVE BROKERS GRO-CL A COM STK CLASS 'A' USD0.01,US45841N1072,"3,293.09","278,432",0.04%
INTERCONTINENTAL EXCHANGE IN INTERCONTINENTALEXCHANGE INC,US45866F1049,444.5,"124,440",0.02%
INTERNATIONAL PAPER CO COM USD1,US4601461035,"5,114.90","365,500",0.06%
INTESA SANPAOLO EUR0.52,IT0000072618,"18,121.22","158,770",0.03%
INTL BUSINESS MACHINES CORP COM USD0.20,US4592001014,"2,405.25","1,081,894",0.17%
INTUIT INC,US4612021034,433.54,"521,054",0.08%
INTUITIVE SURGICAL INC COM USD0.001,US46120E6023,"1,057.34","876,737",0.14%
INVESTOR AB-B SHS,SE0015811963,"12,449.98","557,639",0.09%
INVITATION HOMES INC,US46187W1071,"9,972.67","499,128",0.08%
IPH LTD IPH,AU000000IPH9,"48,185.30","220,689",0.04%
IPSEN EUR1,FR0010259150,920.7,"166,729",0.03%
IVANHOE MINES LTD-CL A IVN,CA46579R1047,"24,129.16","276,039",0.04%
JAMES HARDIE INDUSTRIES PLC,AU000000JHX1,"31,107.35","1,297,176",0.21%
JB HI-FI LTD NPV,AU000000JBH7,"12,962.80","1,430,445",0.23%
JOHNSON & JOHNSON COM STK USD1,US4781601046,"3,707.03","864,041",0.14%
KENVUE INC,US49177J1025,"7,630.26","243,689",0.04%
KEYCORP COM USD1,US4932671088,"6,888.28","183,099",0.03%
KIMBERLY-CLARK CORP COM USD1.25,US4943681035,952.99,"187,472",0.03%
KINGSPAN GROUP PLC ORD EUR0.13,IE0004927939,"4,022.97","534,443",0.09%
KLA-TENCOR CORPORATION COM USD0.001,US4824801009,400.68,"547,657",0.09%
KLEPIERRE EUR1.40,FR0000121964,"27,347.30","1,638,023",0.26%
KNORR-BREMSE AG,DE000KBX1006,"1,904.25","279,861",0.04%
KONINKLIJKE KPN NV KPN,NL0000009082,"46,509.14","344,555",0.05%
KYOWA KIRIN CO LTD,JP3256000005,"4,381.56","114,119",0.02%
LAM RESEARCH CORP,US5128073062,"3,632.09","539,478",0.09%
LEGRAND SA EUR4,FR0010307819,652.62,"132,677",0.02%
LENDLEASE GROUP,AU000000LLC3,"36,612.96","196,978",0.03%
LENNOX INTERNATIONAL INC COM USD0.01,US5261071071,121.65,"106,405",0.02%
LIFE360 INC-CDI,AU0000045098,"11,440.78","368,164",0.06%
LINK REIT NPV,HK0823032773,"15,623.73","127,250",0.02%
LIONTOWN RESOURCES LTD,AU000000LTR4,"1,083,871.79","758,710",0.12%
LIVE NATION ENTERTAINMENT IN COM STK USD0.01,US5380341090,851.52,"196,564",0.03%
LKQ CORP COM USD0.01,US5018892084,"1,650.00","93,182",0.01%
LONDON STOCK EXCHANGE GROUP ORD GBP0.06918604,GB00B0SWJX34,371.28,"82,565",0.01%
LOVISA HOLDINGS LTD LOV,AU000000LOV7,"7,369.48","233,465",0.04%
LPL FINANCIAL HOLDINGS INC LPL FINANCIAL HOLDINGS INC,US50212V1008,818.66,"468,411",0.07%
LUNDIN MINING CORP COM NPV,CA5503721063,"15,374.10","246,199",0.04%
LVMH MOET HENNESSY LOUIS VUI EUR0.30,FR0000121014,314.78,"250,678",0.04%
LYNAS RARE EARTHS LTD,AU000000LYC6,"252,159.24","2,171,091",0.35%
MACQUARIE GROUP LTD,AU000000MQG1,"16,388.62","3,748,570",0.60%
MAGELLAN FINANCIAL GROUP LTD NPV,AU000000MFG4,"26,262.96","224,811",0.04%
MARRIOTT INTERNATIONAL -CL A,US5719032022,"1,301.79","542,704",0.09%
MARSH & MCLENNAN COS COM USD1,US5717481023,881.5,"294,089",0.05%
MARVELL TECHNOLOGY INC,US5738741041,"1,132.86","133,797",0.02%
MASCO CORP COM USD1,US5745991068,"1,369.24","134,469",0.02%
MASTERCARD INC-CLASS A COM USD0.0001 CLASS 'A',US57636Q1040,"1,961.90","1,682,264",0.27%
MEDIBANK PRIVATE LTD MPL,AU000000MPL3,"614,752.77","3,104,501",0.49%
MEDTRONIC PLC MDT,IE00BTN1Y115,"3,790.05","504,126",0.08%
MERCADOLIBRE INC COM STK USD0.001,US58733R1023,65.72,"262,115",0.04%
MERCK & CO. INC. COM USD0.50,US58933Y1055,"5,707.56","689,419",0.11%
MERIDIAN ENERGY LTD,NZMELE0002S7,"29,656.27","162,076",0.03%
MESOBLAST LTD NPV,AU000000MSB8,"154,806.38","256,205",0.04%
METLIFE INC COM USD0.01,US59156R1086,"7,122.35","874,005",0.14%
MICRON TECHNOLOGY INC,US5951121038,"1,956.14","367,886",0.06%
MICROSOFT CORP COM USD0.00000625,US5949181045,"10,707.16","8,126,722",1.30%
MICROSTRATEGY INC-CL A,US5949724083,312.47,"192,739",0.03%
MID-AMERICA APARTMENT COMM COM STK USD0.01,US59522J1034,"1,373.85","310,283",0.05%
MINEBEA MITSUMI INC,JP3906000009,"4,554.52","101,832",0.02%
MIRVAC GROUP STAPLED SECURITIES,AU000000MGR9,"88,168.98","193,972",0.03%
MITSUBISHI ESTATE CO LTD NPV,JP3899600005,"6,168.78","176,145",0.03%
MITSUBISHI UFJ FINANCIAL GRO NPV,JP3902900004,"22,196.08","464,968",0.07%
